                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.3503,                 1.3121,                 1.4337,                0.61483,                0.67155,                 0.6964,                0.34853,                 1.6123,                 1.3836,                  1.601,              0.0005644,              0.0005644,              0.0005644
                     47,                 1.3496,                 1.3356,                 1.4359,                0.70069,                 0.5461,                0.66174,                0.33806,                 1.5844,                  1.402,                   1.59,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.3496,                 1.3356,                 1.4359,                0.70069,                 0.5461,                0.66174,                0.33806,                 1.5844,                  1.402,                   1.59,              0.0005545,              0.0005545,              0.0005545
                     48,                 1.3551,                  1.316,                 1.4356,                0.61264,                0.68442,                0.70106,                0.37715,                 1.5463,                 1.3475,                 1.5511,              0.0005446,              0.0005446,              0.0005446
                     48,                 1.3551,                  1.316,                 1.4356,                0.61264,                0.68442,                0.70106,                0.37715,                 1.5463,                 1.3475,                 1.5511,              0.0005446,              0.0005446,              0.0005446
                     49,                 1.3373,                 1.2876,                 1.4119,                0.60476,                 0.6494,                0.67848,                 0.3613,                 1.5699,                 1.3603,                 1.5793,              0.0005347,              0.0005347,              0.0005347
                     49,                 1.3373,                 1.2876,                 1.4119,                0.60476,                 0.6494,                0.67848,                 0.3613,                 1.5699,                 1.3603,                 1.5793,              0.0005347,              0.0005347,              0.0005347
                     50,                  1.331,                 1.2724,                 1.4113,                0.58641,                0.66268,                 0.6748,                0.34675,                 1.6538,                 1.4052,                 1.6302,              0.0005248,              0.0005248,              0.0005248
                     50,                  1.331,                 1.2724,                 1.4113,                0.58641,                0.66268,                 0.6748,                0.34675,                 1.6538,                 1.4052,                 1.6302,              0.0005248,              0.0005248,              0.0005248
                     51,                 1.3293,                 1.2753,                  1.419,                0.62868,                 0.6224,                0.67605,                0.35578,                 1.6131,                 1.4273,                 1.6142,              0.0005149,              0.0005149,              0.0005149
                     51,                 1.3293,                 1.2753,                  1.419,                0.62868,                 0.6224,                0.67605,                0.35578,                 1.6131,                 1.4273,                 1.6142,              0.0005149,              0.0005149,              0.0005149
                     52,                 1.3153,                 1.2378,                 1.4087,                0.60953,                0.69663,                0.71639,                0.37843,                 1.5657,                 1.3411,                 1.5735,               0.000505,               0.000505,               0.000505
                     52,                 1.3153,                 1.2378,                 1.4087,                0.60953,                0.69663,                0.71639,                0.37843,                 1.5657,                 1.3411,                 1.5735,               0.000505,               0.000505,               0.000505
                     53,                 1.3228,                 1.2646,                 1.4073,                0.65276,                0.63168,                0.69665,                0.37742,                 1.5609,                 1.3207,                 1.5615,              0.0004951,              0.0004951,              0.0004951
                     53,                 1.3228,                 1.2646,                 1.4073,                0.65276,                0.63168,                0.69665,                0.37742,                 1.5609,                 1.3207,                 1.5615,              0.0004951,              0.0004951,              0.0004951
                     54,                 1.3039,                 1.2525,                 1.4091,                0.63384,                0.66288,                0.70267,                0.37307,                   1.58,                 1.3599,                 1.5832,              0.0004852,              0.0004852,              0.0004852
                     54,                 1.3039,                 1.2525,                 1.4091,                0.63384,                0.66288,                0.70267,                0.37307,                   1.58,                 1.3599,                 1.5832,              0.0004852,              0.0004852,              0.0004852
                     55,                 1.3511,                 1.2971,                  1.443,                0.67724,                0.64966,                0.69628,                0.35809,                 1.6034,                 1.3496,                  1.573,              0.0004753,              0.0004753,              0.0004753
                     55,                 1.3511,                 1.2971,                  1.443,                0.67724,                0.64966,                0.69628,                0.35809,                 1.6034,                 1.3496,                  1.573,              0.0004753,              0.0004753,              0.0004753
                     56,                 1.3557,                 1.2889,                 1.4454,                0.59551,                0.65389,                0.68405,                0.36158,                 1.5884,                 1.3359,                 1.5818,              0.0004654,              0.0004654,              0.0004654
                     56,                 1.3557,                 1.2889,                 1.4454,                0.59551,                0.65389,                0.68405,                0.36158,                 1.5884,                 1.3359,                 1.5818,              0.0004654,              0.0004654,              0.0004654
                     57,                 1.3364,                 1.2544,                 1.4097,                0.66491,                0.65817,                0.70254,                 0.3782,                 1.5476,                 1.3238,                 1.5493,              0.0004555,              0.0004555,              0.0004555
                     57,                 1.3364,                 1.2544,                 1.4097,                0.66491,                0.65817,                0.70254,                 0.3782,                 1.5476,                 1.3238,                 1.5493,              0.0004555,              0.0004555,              0.0004555
                     58,                 1.3189,                 1.2724,                 1.4204,                0.60509,                0.67313,                0.68716,                0.36452,                 1.5829,                 1.3677,                 1.5939,              0.0004456,              0.0004456,              0.0004456
                     58,                 1.3189,                 1.2724,                 1.4204,                0.60509,                0.67313,                0.68716,                0.36452,                 1.5829,                 1.3677,                 1.5939,              0.0004456,              0.0004456,              0.0004456
                     59,                 1.3414,                 1.2797,                 1.4319,                0.61102,                0.68544,                0.70046,                0.36773,                 1.5585,                 1.3306,                 1.5446,              0.0004357,              0.0004357,              0.0004357
                     59,                 1.3414,                 1.2797,                 1.4319,                0.61102,                0.68544,                0.70046,                0.36773,                 1.5585,                 1.3306,                 1.5446,              0.0004357,              0.0004357,              0.0004357
                     60,                 1.3416,                 1.2651,                 1.4213,                 0.6179,                 0.6878,                0.72312,                 0.3827,                 1.5704,                 1.3232,                 1.5616,              0.0004258,              0.0004258,              0.0004258
                     60,                 1.3416,                 1.2651,                 1.4213,                 0.6179,                 0.6878,                0.72312,                 0.3827,                 1.5704,                 1.3232,                 1.5616,              0.0004258,              0.0004258,              0.0004258
                     61,                  1.332,                 1.2697,                 1.4265,                0.61828,                0.69714,                0.70208,                0.35525,                 1.5794,                 1.3358,                 1.5708,              0.0004159,              0.0004159,              0.0004159
                     61,                  1.332,                 1.2697,                 1.4265,                0.61828,                0.69714,                0.70208,                0.35525,                 1.5794,                 1.3358,                 1.5708,              0.0004159,              0.0004159,              0.0004159
                     62,                 1.3091,                 1.2591,                 1.4068,                0.61207,                0.69332,                0.72231,                0.37926,                 1.5548,                 1.2819,                 1.5651,               0.000406,               0.000406,               0.000406
                     62,                 1.3091,                 1.2591,                 1.4068,                0.61207,                0.69332,                0.72231,                0.37926,                 1.5548,                 1.2819,                 1.5651,               0.000406,               0.000406,               0.000406
                     63,                 1.3317,                 1.2439,                 1.4147,                0.67326,                 0.6802,                0.71651,                0.38251,                 1.5205,                 1.2919,                 1.5437,              0.0003961,              0.0003961,              0.0003961
                     63,                 1.3317,                 1.2439,                 1.4147,                0.67326,                 0.6802,                0.71651,                0.38251,                 1.5205,                 1.2919,                 1.5437,              0.0003961,              0.0003961,              0.0003961
                     64,                 1.3054,                 1.2345,                 1.3937,                0.65474,                 0.6861,                0.71536,                0.37968,                 1.5442,                 1.2728,                 1.5502,              0.0003862,              0.0003862,              0.0003862
                     64,                 1.3054,                 1.2345,                 1.3937,                0.65474,                 0.6861,                0.71536,                0.37968,                 1.5442,                 1.2728,                 1.5502,              0.0003862,              0.0003862,              0.0003862
                     65,                 1.2984,                 1.2093,                 1.3949,                0.63092,                0.70543,                0.71562,                0.38498,                 1.5517,                 1.2589,                 1.5714,              0.0003763,              0.0003763,              0.0003763
                     65,                 1.2984,                 1.2093,                 1.3949,                0.63092,                0.70543,                0.71562,                0.38498,                 1.5517,                 1.2589,                 1.5714,              0.0003763,              0.0003763,              0.0003763
                     66,                 1.2738,                 1.1908,                 1.3899,                0.60866,                0.69119,                 0.7124,                0.38835,                 1.5374,                 1.2961,                 1.5543,              0.0003664,              0.0003664,              0.0003664
                     66,                 1.2738,                 1.1908,                 1.3899,                0.60866,                0.69119,                 0.7124,                0.38835,                 1.5374,                 1.2961,                 1.5543,              0.0003664,              0.0003664,              0.0003664
                     67,                 1.3128,                 1.2034,                 1.4083,                0.60447,                0.68893,                0.70819,                0.38327,                  1.533,                 1.2775,                 1.5592,              0.0003565,              0.0003565,              0.0003565
                     67,                 1.3128,                 1.2034,                 1.4083,                0.60447,                0.68893,                0.70819,                0.38327,                  1.533,                 1.2775,                 1.5592,              0.0003565,              0.0003565,              0.0003565
